W_PCT,AGE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,FP,DD2,TD3
0.493,32,2.4,5.8,0.417,0.8,2.3,0.329,0.7,0.8,0.897,0.7,1.4,2.1,0.6,0.5,0.5,0.2,0.4,1.8,0.7,6.3,-3.6,11.3,0,0
0.385,32,1.7,4.8,0.355,0.4,1.2,0.313,1.2,1.5,0.75,0.7,1.6,2.3,1.5,0.5,0.3,0.3,0.2,1.4,0.9,4.9,-2.5,11.2,0,0
0.6,33,0.9,1.7,0.549,0,0,0,0.4,0.7,0.619,0.9,1.6,2.5,0.5,0.5,0.1,0.4,0.2,1.7,0.7,2.3,0.3,7,0,0
0.695,31,3.2,8,0.397,1,2.8,0.356,1.1,1.7,0.676,1.2,2,3.3,2.1,1.1,1.5,0.4,0.5,2.2,1.7,8.5,5.2,20.4,0,0
0.192,22,7.7,17.1,0.45,0.8,2.2,0.366,3,4,0.753,1.6,4,5.6,2.2,2.7,0.7,0.7,1.1,3,3,19.2,-3.8,30.8,8,0
0.6,31,1.8,4.5,0.4,0.4,1.7,0.235,0.4,0.4,1,0,0.8,0.8,1.2,0.4,0.2,0.1,0,0.4,0.2,4.4,1,7.7,0,0
0.579,29,2.5,6.4,0.392,1.5,4.1,0.36,0.7,1,0.684,0.3,1.9,2.2,0.6,0.7,0.5,0.4,0.2,1.8,1,7.2,-0.4,12.7,0,0
0.613,33,3.1,7.2,0.431,1.9,4.4,0.44,0.5,0.8,0.629,0.2,2.2,2.4,3.3,1.3,0.6,0.1,0.1,2.2,1.2,8.6,2.3,17.4,0,0
0.568,23,5.2,11.8,0.444,1,2.7,0.369,2.2,3,0.733,0.4,2.7,3,6.5,2.2,1.8,0.2,0.9,2.2,2.8,13.7,3.7,30.9,7,0
0.459,30,3.9,8.5,0.462,1.7,4.2,0.402,1.6,2,0.8,0.5,4.1,4.5,1.7,1.1,0.7,0.5,0.2,1.8,1.8,11.2,1.4,21.5,1,0
0.75,28,0.8,1.5,0.5,0,0,0,0.5,1,0.5,0.5,0.8,1.3,0.3,0.3,0,0.3,0.5,0.5,0.8,2,4.5,4.4,0,0
0.659,31,2,4.9,0.401,1,2.9,0.364,0.6,0.8,0.676,0.9,3.6,4.5,1.2,1,0.5,0,0.2,2.1,0.9,5.6,-0.8,13.4,3,0
0.328,28,5,12.6,0.399,1.4,4.2,0.324,2.6,3.1,0.853,0.4,2.3,2.6,6.6,2.9,0.9,0.2,0.5,2.6,2.4,14,-5.7,27.3,12,0
0.438,25,9.1,20.1,0.451,1.7,4.7,0.361,4.3,5.4,0.789,0.6,3,3.5,5.6,3.2,2.1,0.3,0.7,2.5,4.8,24.1,-2.9,40.8,10,0
