W_PCT,AGE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3
0.452,34,0.8,2.3,0.361,0.4,1.1,0.324,0.2,0.4,0.545,0.5,1,1.4,0.6,0.4,0.4,0.2,0.1,1.7,0.7,2.2,0.3,6.1,0,0
0.483,24,1.7,3.8,0.437,0,0,0,0.7,1.1,0.656,1.4,1.7,3.1,0.7,0.8,0.4,1.5,0.2,2.5,1.4,4.1,1.8,13.6,0,0
0.506,32,6.2,12.1,0.512,0,0,0,2.6,3.4,0.78,2.9,5.4,8.3,1.5,1.2,1.1,1.3,0.6,3,2.8,15,1.7,33.3,24,0
0.597,28,4.2,7.3,0.573,0,0,0,2,3.6,0.562,3.2,6.3,9.5,0.6,1.7,0.6,1.8,0.9,3.2,2.9,10.3,2,27.9,23,0
0.395,21,2.5,6,0.424,0.4,1.4,0.276,1.2,1.6,0.744,0.8,1.9,2.8,3.6,2.4,1.1,0.3,0.4,1.6,1.5,6.7,-2.7,17.3,1,0
0.446,22,7.6,16.9,0.45,1.9,5.2,0.364,5.1,6.2,0.825,0.8,2.1,2.9,4.4,2.7,1.3,0.3,1.2,2.1,4.6,22.3,0,34.4,1,0
0.671,24,1.6,4.1,0.402,0.5,1.2,0.385,0.5,0.7,0.729,0.3,1.2,1.5,2.9,0.9,0.4,0.1,0.1,1.2,0.6,4.2,2.4,10.9,0,0
0.706,35,1,1.7,0.584,0,0,0,0.5,0.9,0.545,1,2.4,3.5,0.4,0.6,0.3,0.9,0.2,1.6,0.9,2.5,2.2,10.3,1,0
0.417,24,3.7,8.5,0.436,0.6,2,0.298,1.6,1.7,0.894,1.8,4.3,6.1,0.9,1.1,0.9,0.4,0.5,2.7,2.3,9.5,1,20.9,8,0
0.462,33,0.8,1.6,0.476,0,0,0,0.9,1.2,0.8,0.5,1.3,1.8,0.2,0.4,0.1,0.3,0.2,0.8,0.7,2.5,-2,5.6,0,0
0.513,22,2.9,6.8,0.425,0.2,0.6,0.318,1.3,1.6,0.808,0.5,3.4,3.9,2,1,0.6,0.2,0.6,1.8,1.3,7.2,-0.6,16.4,2,0
0.8,36,0.6,1,0.6,0,0,0,0.2,0.4,0.5,0.6,0.8,1.4,0,0.6,0,0,0,2,0.4,1.4,-4,2.5,0,0
0.548,35,0.9,1.8,0.478,0,0,0,0.4,0.5,0.839,0.6,1.3,1.9,0.5,0.5,0.3,0.2,0.1,1.4,0.6,2.2,-1,6.4,0,0
0.31,29,3.6,8.2,0.436,1.4,3.9,0.362,1.1,1.3,0.855,0.4,1.9,2.3,1.2,0.8,0.9,0.8,0.3,2.2,1.3,9.7,-2,18.6,1,0
1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,0,0,0
0.476,24,0.8,1.5,0.548,0,0,0,0.5,1,0.5,0.8,0.6,1.3,0.1,0.5,0,0.2,0.3,1,0.6,2.1,-0.8,4.2,0,0
0.5,25,0.8,2.8,0.294,0.4,1.5,0.27,0.3,0.7,0.412,0,0.9,1,1.3,1,0.5,0.3,0.2,1,0.5,2.4,-1.3,6.7,0,0
0.619,26,2,4.3,0.454,0.3,0.9,0.328,0.9,1.4,0.678,0.4,1.4,1.8,0.8,0.7,0.4,0.1,0.4,1.2,1,5.2,-0.5,9.2,0,0
0.738,26,3.6,7.9,0.451,1.6,3.9,0.419,1.1,1.3,0.808,0.3,2.2,2.5,1.2,1,0.3,0.1,0.2,1.9,1.1,9.8,1.1,14.7,0,0
0.737,25,3.8,8.3,0.453,1,2.7,0.377,3.1,3.6,0.863,0.3,2.3,2.6,2.5,1.3,0.9,0.3,0.5,2,2.9,11.6,3.7,20.7,0,0
0.426,23,3.8,8.4,0.454,0.1,0.5,0.194,1.9,2.4,0.785,0.7,2.3,3,1.5,0.9,0.7,0.5,0.5,1.7,2.3,9.6,-1.5,18.2,0,0
0.507,28,5.4,12,0.454,0.9,2.6,0.333,3.9,5.3,0.746,1.6,6.5,8,2.4,2.1,1.5,0.9,1.3,2.6,4.5,15.7,1.7,33.9,18,0
0.5,29,3.8,10.5,0.366,1.4,4.7,0.297,1.7,2.2,0.784,0.3,2.4,2.7,3.9,2.5,1.1,0.3,0.4,2.7,2.1,10.8,-0.2,21.4,3,0
0.692,25,4.6,10.3,0.448,0,0.2,0.133,2.5,3.4,0.736,1.3,4.2,5.4,1.2,1.1,1,0.4,0.8,3,3,11.7,1.8,23.1,5,0
0.529,25,2.7,6.3,0.435,0.8,2.2,0.361,1.2,1.9,0.624,0.5,1.5,2,2.9,1.7,0.7,0.1,0.4,1.8,2.2,7.5,-3,15.2,5,1
0.458,21,2,4.1,0.485,0.5,1,0.473,1,1.3,0.711,0.6,1.4,1.9,1.1,1,0.4,0.3,0.2,1.5,1.7,5.4,-2.7,10.5,0,0
0.488,38,5,10.3,0.484,0.6,1.4,0.395,2.7,3.2,0.829,1,3.3,4.2,2.5,1.7,0.8,0.4,0.5,2.3,3.1,13.2,0.6,24.1,4,0
0.375,21,3.8,6.9,0.551,0,0,0,1.8,2.9,0.622,3.1,4.4,7.5,1.3,1,1.2,0.6,0.9,2.5,2.3,9.4,-1.7,24.5,21,0
0.586,24,1.4,3.3,0.408,0.4,1.2,0.291,0.5,0.6,0.773,0.2,0.9,1,2.2,1,0.3,0.1,0.2,1.2,0.8,3.6,-0.9,8.2,0,0
0.488,28,2.9,5.6,0.511,0,0.1,0.091,2.7,3.7,0.721,1.1,2.6,3.7,0.9,1,0.4,0.1,0.4,1.3,2.8,8.4,-2.3,14.6,3,0
0.188,24,0.3,0.3,0.8,0,0,0,0.4,0.8,0.5,0.1,0.3,0.4,0,0.2,0.1,0.3,0,1.1,0.6,0.9,-2.1,2.5,0,0
0.581,26,1,1.9,0.517,0,0,0,0.5,0.7,0.652,0.8,1.4,2.2,0.2,0.4,0.1,0.4,0.3,0.9,0.5,2.4,1.5,6.4,1,0
0.489,24,0.4,0.9,0.425,0,0,0,0.4,0.7,0.543,0.5,1.1,1.6,0.1,0.4,0.2,0.3,0.2,1.6,0.7,1.1,-2.6,4.4,0,0
1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-4,0,0,0
0.593,32,4,8.9,0.446,1.6,3.8,0.41,1.3,1.9,0.679,0.6,3.8,4.4,4.2,1.6,0.9,0.4,0.2,3,1.6,10.8,3.7,24.7,6,1
0.525,23,1.7,3.9,0.441,1,2.5,0.386,0.5,0.7,0.705,0.3,1.7,2,0.6,0.6,0.3,0.1,0.2,1.3,0.5,4.9,1.4,8.8,0,0
0.283,26,0.7,1.4,0.487,0,0.1,0.5,0.3,0.6,0.485,0.8,1.7,2.5,0.3,0.5,0.3,0.4,0.2,1.6,0.9,1.7,-1.9,6.8,0,0
0.696,24,1,1.8,0.561,0,0,0,1.1,1.5,0.768,0.8,1.4,2.1,0.1,0.4,0.3,0.3,0.1,1.9,1.2,3.1,1.2,7,1,0
0.444,27,2.3,4.1,0.561,0,0,0,1.1,1.7,0.661,1.1,2.1,3.2,0.1,0.6,0.1,0.1,0.4,2,1.6,5.8,-1.9,9.6,1,0
0.8,33,0.3,1.1,0.238,0,0.4,0,0.2,0.4,0.5,0.3,0.7,1,0.7,0.3,0.4,0.1,0.2,0.7,0.3,0.7,-0.8,3.9,0,0
0.488,22,1,2.7,0.374,0.1,0.2,0.3,0.3,0.5,0.571,0.2,0.9,1.1,1.8,0.8,0.4,0,0.1,0.9,0.8,2.3,-1.1,7,0,0
0.691,27,3.5,8,0.439,0.8,2.3,0.349,1.6,1.9,0.847,0.4,1.6,2,3.9,1.7,0.4,0,0.5,1.7,2.4,9.5,1.9,17.2,3,0
0.778,33,0.7,1.2,0.591,0,0,0,0.5,1,0.5,0.9,2.4,3.4,0.2,0.3,0.2,0.1,0.1,1.4,0.8,1.9,0.7,7,0,0
0.526,31,4.8,11.5,0.421,1.6,4.6,0.341,2.9,3.4,0.854,0.3,1.4,1.7,3.2,1.9,0.8,0.2,0.5,1.3,2.2,14.2,0,21.9,0,0
0.339,31,1.7,4.2,0.407,0.6,2.1,0.309,0.3,0.3,0.882,0.4,2.4,2.8,0.9,0.4,0.5,0.6,0.1,1.1,0.3,4.3,-2.5,11.7,0,0
0.645,29,4.9,11,0.446,1.6,3.9,0.401,1.7,2.1,0.802,0.5,2.5,3,6,2.6,1,0,0.5,2.8,2.1,13.1,4.1,26.2,4,0
0.654,22,1.2,3.1,0.383,0.7,1.8,0.391,0.5,0.7,0.778,0.1,0.8,0.9,0.7,0.5,0.1,0.2,0.2,0.9,0.7,3.6,-1.9,6.3,0,0
0.671,21,3.6,8.3,0.436,1.4,4,0.349,3.5,4.2,0.843,0.5,2.6,3.1,2.1,1.3,1.1,0.3,0.6,2.5,3.1,12.2,2.5,22.1,0,0
